Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
Anguilla,AIA,16-May-20,0,,
Anguilla,AIA,17-May-20,0,,
Anguilla,AIA,18-May-20,0,,
Anguilla,AIA,19-May-20,0,,
Anguilla,AIA,20-May-20,0,,
Anguilla,AIA,21-May-20,0,,
Anguilla,AIA,22-May-20,0,,
Anguilla,AIA,23-May-20,0,,
Anguilla,AIA,24-May-20,0,,
Anguilla,AIA,25-May-20,0,,
Anguilla,AIA,26-May-20,0,,
Anguilla,AIA,27-May-20,0,,
Anguilla,AIA,28-May-20,0,,
Anguilla,AIA,29-May-20,0,,
Anguilla,AIA,30-May-20,0,,
Antigua and Barbuda,ATG,31-Dec-19,,2017,231.8454545
